id,title,owner,access,status,reason,webmap,nested_appid,url
db5069d2d56346b095bc64faadd17c1f,(COPY) Esri Campus Tour - MT,dasbury_storymaps,private,PASS,,bd22f0276f96433e945aefd5b4f48e03,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=db5069d2d56346b095bc64faadd17c1f
21b997083d124a46944452c43052f845,2015 CGAP Photo Contest,StoryMaps,public,PASS,,a2f1d0a82b8b4dd886859f416bb331c7,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=21b997083d124a46944452c43052f845
8c9c47f7c1fb43b095fdd480dcbf78b7,A Day in the Chianti Classico Countryside,StoryMaps,public,PASS,,f1cd596c139b4516997460f63e84167c,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=8c9c47f7c1fb43b095fdd480dcbf78b7&webmap=f1cd596c139b4516997460f63e84167c
6500aef3c5944cc7b7405cf41663b2c2,A Daytona Beach Walk,StoryMaps,public,PASS,,910b817c327d448c8e2880f6c2fed348,,https://Story.maps.arcgis.com/apps/MapTour/index.html?appid=6500aef3c5944cc7b7405cf41663b2c2
32d02fa456ee4c68a931efa55a5cb314,"A Family Weekend in New York, March 2016",StoryMaps,public,PASS,,840e90e3a9c44cdf95132ef2c418bb5f,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=32d02fa456ee4c68a931efa55a5cb314
bcb1474c47504e9f9a14eb267b5e3098,A Living Death,dasbury_storymaps,private,PASS,,84bf9701b4cd43afa9d6e5e382e24dde,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=bcb1474c47504e9f9a14eb267b5e3098&webmap=84bf9701b4cd43afa9d6e5e382e24dde
8b639b595f454096b59a70c4bda0258e,A Practice Map Tour - Online images and videos,tess.storymaps,private,PASS,,91223a615cb34e0da0e37d5e422c4874,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=8b639b595f454096b59a70c4bda0258e
dd8dd15592d44c5d9cca28a10915e162,A Story Map Tour of Starbucks Reserve® Coffees,StoryMaps,private,PASS,,acd1485b90ef46cd89c02010a89c6fad,,https://story.maps.arcgis.com/apps/MapTour/?appid=150fbca3c08c453e8400ab0b61688422
150fbca3c08c453e8400ab0b61688422,A Story Map Tour of Starbucks Reserve® Coffees,StoryMaps,private,PASS,,acd1485b90ef46cd89c02010a89c6fad,,https://story.maps.arcgis.com/apps/MapTour/?appid=150fbca3c08c453e8400ab0b61688422
a9679a0ed5d94becbcbf6c4e89c07e5b,A tour of the National Trust for Historic Preservation's Pope-Leighey House,StoryMaps,public,PASS,,c16e2f2210a8468ca306fe5c05bbdb0a,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=a9679a0ed5d94becbcbf6c4e89c07e5b
51a136e0a0e44040bd9c788e934a9b0a,A walk around the Massachusetts Institute of Technology,StoryMaps,private,PASS,,7a193a2c071040d28b5529b24bfa2432,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=51a136e0a0e44040bd9c788e934a9b0a
0ff9ddd5774b4734aec03c2efef15d80,"A walk near the National Cathedral in Washington, DC",StoryMaps,public,PASS,,6149418a867b4d548ada9612df6eb33e,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=0ff9ddd5774b4734aec03c2efef15d80&webmap=6149418a867b4d548ada9612df6eb33e
04944837c4534aec8ce81aa392a8b7fc,A walk through Portland,StoryMapsTeam15,private,PASS,,084bc3c900644e7eae045a77c5d3ac6a,,https://story.maps.arcgis.com/apps/MapTour/?appid=04944837c4534aec8ce81aa392a8b7fc
9af3f893c175487ea85cbf85b6890adb,"A Walk Through Soviet Bishkek, Kyrgyzstan",StoryMaps,public,PASS,,920da7f47a1749dd877c1563349777bc,,https://storymaps.esri.com/stories/2018/bishkek-tour/
f2b9396393c44388a762487cc8a5af62,"A Week on Mt. Desert Island, Maine",StoryMaps,public,PASS,,2ef88e68172e4e7bbdaeabb6156152f4,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=f2b9396393c44388a762487cc8a5af62
afa27caa965d4aab8dd59cfbedef7739,"A Winter Hike in Mammoth, California",Rupert_Essinger,public,PASS,,78b6555a6d9e49738a833d168c94f66a,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=afa27caa965d4aab8dd59cfbedef7739
4c4e26dc558c499488509a1c07db1439,aefafew,mcooney.story,private,PASS,,8e991b9e5fc44596aec229845a5d5525,,http://mcooney:8080/map-tour/map-tour/src/index.html?appid=4c4e26dc558c499488509a1c07db1439
e8889b6bb3514bb691242f0afb60d9f6,"AGO hosted MT &lt;style&gt; body{background: ""green""; }&lt;/style&gt;",mcooney.story,public,PASS,,eb45e148cc3b46e3a6677664dce223f5,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=e8889b6bb3514bb691242f0afb60d9f6
f777ccfc6df34f96b0830f0a02a3ad11,AGS FS with places num MT,mcooney.story,public,PASS,,70d84b3c609f40b4b214910e8684acf9,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=f777ccfc6df34f96b0830f0a02a3ad11
570eb36df4ed4c5aa7edfa9c6901bc5e,"An account, in microcosm, of the People's Climate March in Washington, DC",StoryMaps,public,PASS,,29a791956bea4979baf586e8099c9368,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=570eb36df4ed4c5aa7edfa9c6901bc5e
88fa9cebdb134a03abdecd580500eaf5,"An afternoon on Roosevelt Island, March 2013",StoryMaps,public,PASS,,4f7b79cdac444411895c95dea7fa5293,,https://story.maps.arcgis.com/apps/MapTour/?appid=88fa9cebdb134a03abdecd580500eaf5&webmap=4f7b79cdac444411895c95dea7fa5293
67a34c070e9545fbbbaed189002e842d,An architectural tour of New Orleans,StoryMaps,public,PASS,,2270814993fb440dbcd16351a9d98896,,https://storymaps.esri.com/stories/2018/new-orleans/
cf31abfd11df4ae4a56d07ff41538498,Arts and Industries Building Interior,StoryMaps,public,PASS,,515b8a3402224eaeb843c6952c71aff6,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=cf31abfd11df4ae4a56d07ff41538498&webmap=515b8a3402224eaeb843c6952c71aff6
5b490654e0e14f17a67312e5bf499aa5,Audubon Mural Project,acarroll_storymaps,public,PASS,,7340aefce5c5444a9b3555769c7a05d7,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=5b490654e0e14f17a67312e5bf499aa5
2a1faa7c35d344ecbb14f3791ea9454a,Auto-play Map Series within Map Tour Experiment!,StoryMaps,public,PASS,,de9853d6502e4086b0e8513aac570b36,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=2a1faa7c35d344ecbb14f3791ea9454a
1e8f9e4450e143fe8cc5108bcde089c1,Ayers to Esri,StoryMaps,public,PASS,,4362cd86bc38426097198ac3f2d2fa08,,https://Story.maps.arcgis.com/apps/MapTour/index.html?appid=1e8f9e4450e143fe8cc5108bcde089c1
e672eb9ad0ce41ac87aee6221e750b4a,Bad example of a Story Map Tour,Rupert_Essinger,public,PASS,,f473690427814f5587fe3db979b6a85b,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=e672eb9ad0ce41ac87aee6221e750b4a
1a07272255fa49198430ae16e57e5a02,Beautiful Bees,StoryMaps,public,PASS,,41be60d3ac454beaa90008cb90c398a2,,https://story.maps.arcgis.com/apps/MapTour/?appid=1a07272255fa49198430ae16e57e5a02
e894861dffd6438699f7657ca1668331,Bicycle outing in the Virginia Piedmont,StoryMaps,public,PASS,,9e78b4b0e9e34264964182fbe6fe8e59,,https://Story.maps.arcgis.com/apps/MapTour/index.html?appid=e894861dffd6438699f7657ca1668331
8c59cce7380a45f4b3da0b1c86966884,"Bikeride from San Diego to La Jolla, July 2013",StoryMaps,public,PASS,,a852b440867545f0944039544bcf4462,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=8c59cce7380a45f4b3da0b1c86966884&webmap=a852b440867545f0944039544bcf4462
00ebf11eb29c437b82d307677c125529,"Biking and Hiking near Padstow, Cornwall",StoryMaps,public,PASS,,8bd973c5a09f437995427b9be34e4ac1,,https://story.maps.arcgis.com/apps/MapTour/index.html?appid=00ebf11eb29c437b82d307677c125529&webmap=8bd973c5a09f437995427b9be34e4ac1
896013b0b4484350a7289535ffaba811,Biking to a Meeting,StoryMaps,public,PASS,,90649a4350be4f829210d9e9335d185f,,https://Story.maps.arcgis.com/apps/MapTour/index.html?appid=896013b0b4484350a7289535ffaba811
a8de8bc4b3b3430e9f1cc1f85b92e9f6,Birding Outing to Roosevelt Island,StoryMaps,public,PASS,,4f20e263917e4231bf58003ec4c36a1d,,https://Story.maps.arcgis.com/apps/MapTour/index.html?appid=a8de8bc4b3b3430e9f1cc1f85b92e9f6
